,taxpayer_id,location,economic_sector,entity_type,beneficial_owners,registration_date,size,norm_size,size_category
1,A0001,Mombasa,Retail,Individual,['A0001'],19/08/2021,1.212525387,6.13E-05,small
2,A0002,Nakuru,Healthcare,Individual,['A0002'],03/01/2010,1.647409853,8.33E-05,medium
3,A0003,Kisumu,Construction,Individual,['A0003'],06/03/2020,1.014848278,5.13E-05,micro
4,A0004,Kitale,Water & Sanitation,Individual,['A0004'],14/12/2006,1.648396401,8.33E-05,medium
5,A0005,Garissa,Legal & Professional Services,Individual,['A0005'],18/09/2005,1.270751991,6.42E-05,small
6,A0006,Nairobi,Agriculture,Individual,['A0006'],27/11/2009,1.888151219,9.55E-05,medium
7,A0007,Eldoret,Public Administration,Individual,['A0007'],03/07/2018,1.839142614,9.30E-05,medium
8,A0008,Nairobi,Water & Sanitation,Individual,['A0008'],17/06/2009,1.055663045,5.34E-05,micro
9,A0009,Kitale,Wholesale Trade,Individual,['A0009'],24/09/2020,1.59459452,8.06E-05,medium
10,A0010,Nyeri,Legal & Professional Services,Individual,['A0010'],11/12/2009,2.082503971,0.000105287,large
11,A0011,Kericho,Waste Management,Individual,['A0011'],29/03/2011,1.323850128,6.69E-05,small
12,A0012,Nairobi,Finance,Individual,['A0012'],29/08/2020,1.071641772,5.42E-05,micro
13,A0013,Machakos,Transportation & Logistics,Individual,['A0013'],27/03/2011,1.296608834,6.56E-05,small
14,A0014,Kisumu,Hospitality,Individual,['A0014'],15/02/2022,25.91409872,0.001310159,large
15,A0015,Thika,Construction,Individual,['A0015'],30/01/2007,1.06059052,5.36E-05,micro
16,A0016,Machakos,Construction,Individual,['A0016'],19/01/2013,3.646009085,0.000184334,large
17,A0017,Thika,Security Services,Individual,['A0017'],07/12/2010,1.510358664,7.64E-05,medium
18,A0018,Nairobi,Mining & Quarrying,Individual,['A0018'],10/01/2017,1.137063344,5.75E-05,micro
19,A0019,Mombasa,Energy,Individual,['A0019'],08/10/2006,2.395944951,0.000121134,large
20,A0020,Nyeri,Real Estate,Individual,['A0020'],09/08/2023,4.45005258,0.000224985,large
21,A0021,Meru,Security Services,Individual,['A0021'],10/11/2024,1.70928831,8.64E-05,medium
22,A0022,Thika,Waste Management,Individual,['A0022'],25/04/2009,1.373979178,6.95E-05,small
23,A0023,Kitale,Agriculture,Individual,['A0023'],11/01/2006,1.604783062,8.11E-05,medium
24,A0024,Meru,Healthcare,Individual,['A0024'],04/05/2022,1.216085771,6.15E-05,small
25,A0025,Nakuru,Agriculture,Individual,['A0025'],08/03/2024,1.61060665,8.14E-05,medium
26,A0026,Eldoret,Construction,Individual,['A0026'],11/07/2013,12.0617701,0.000609816,large
27,A0027,Nakuru,Mining & Quarrying,Individual,['A0027'],05/04/2019,1.916085034,9.69E-05,medium
28,A0028,Thika,Finance,Individual,['A0028'],21/04/2013,5.157035779,0.000260728,large
29,A0029,Thika,Hospitality,Individual,['A0029'],13/01/2020,1.27023932,6.42E-05,small
30,A0030,Nakuru,Transportation,Individual,['A0030'],01/05/2020,1.383196638,6.99E-05,small
31,A0031,Meru,Agriculture,Individual,['A0031'],31/08/2018,1.223693895,6.19E-05,small
32,A0032,Meru,Finance,Individual,['A0032'],24/12/2016,1.03234834,5.22E-05,micro
33,A0033,Kitale,Healthcare,Individual,['A0033'],31/08/2008,1.289673743,6.52E-05,small
34,A0034,Kericho,Energy,Individual,['A0034'],21/01/2011,3.456251799,0.00017474,large
35,A0035,Meru,Transportation,Individual,['A0035'],29/06/2017,2.635670254,0.000133254,large
36,A0036,Eldoret,Arts & Culture,Individual,['A0036'],10/04/2012,1.082584061,5.47E-05,micro
37,A0037,Nairobi,Healthcare,Individual,['A0037'],08/06/2023,1.054183723,5.33E-05,micro
38,A0038,Nairobi,Transportation & Logistics,Individual,['A0038'],31/12/2013,1.017125907,5.14E-05,micro
39,A0039,Nakuru,Agriculture,Individual,['A0039'],25/09/2009,6.691845806,0.000338325,large
40,A0040,Garissa,Transportation,Individual,['A0040'],22/01/2012,1.385528924,7.00E-05,small
41,A0041,Eldoret,Wholesale Trade,Individual,['A0041'],13/03/2016,4.613551422,0.000233251,large
42,A0042,Machakos,Wholesale Trade,Individual,['A0042'],17/04/2015,1.233119431,6.23E-05,small
